sorghum3,Pv1_jcvi
Sobic.004G259600,Pavagv11012985m
Sobic.004G259700,Pavagv11012984m
Sobic.004G259800,Pavagv11012983m
Sobic.004G259900,Pavagv11012982m
Sobic.004G260000,Pavagv11012981m
Sobic.004G260100,Pavagv11012980m
Sobic.004G260200,Pavagv11012979m
Sobic.004G260250,No Gene
Sobic.004G260300,Pavagv11012978m
Sobic.004G260400,Pavagv11012976m
Sobic.004G260500,Pavagv11012974m
Sobic.004G260600,No Gene
Sobic.004G260700,No Gene
Sobic.004G260800,Pavagv11012972m
Sobic.004G260900,Pavagv11012971m
Sobic.004G261000,Pavagv11012970m
Sobic.004G261100,Pavagv11012969m
Sobic.004G261200,Pavagv11012968m
Sobic.004G261300,No Gene
Sobic.004G261400,Pavagv11012964m
Sobic.004G261500,Pavagv11012957m
Sobic.004G261600,Pavagv11012956m
Sobic.004G261700,Pavagv11012955m
Sobic.004G261800,Pavagv11012953m
Sobic.004G261900,Pavagv11012952m
Sobic.004G262000,Pavagv11012950m
Sobic.004G262100,Pavagv11012948m
Sobic.004G262200,Pavagv11012947m
Sobic.004G262300,Pavagv11012945m
Sobic.004G262400,Pavagv11012944m
Sobic.004G262500,Pavagv11012942m
Sobic.004G262550,No Gene
Sobic.004G262600,Pavagv11012938m
Sobic.004G262700,Pavagv11012936m
Sobic.004G262800,Pavagv11012935m
Sobic.004G262900,Pavagv11012931m
Sobic.004G263000,Pavagv11012930m
Sobic.004G263100,Pavagv11012929m
Sobic.004G263200,Pavagv11012926m
Sobic.004G263300,Pavagv11012925m
Sobic.004G263400,Pavagv11012923m
Sobic.004G263500,Pavagv11012922m
Sobic.004G263600,Pavagv11012921m
Sobic.004G263700,Pavagv11012920m
Sobic.004G263800,No Gene
Sobic.004G263900,No Gene
Sobic.004G264000,Pavagv11012918m
Sobic.004G264100,Pavagv11012915m
Sobic.004G264200,Pavagv11012917m
Sobic.004G264300,Pavagv11012913m
Sobic.004G264400,Pavagv11012912m
Sobic.004G264450,No Gene
Sobic.004G264500,Pavagv11012911m
Sobic.004G264600,Pavagv11012910m
Sobic.004G264700,Pavagv11012909m
Sobic.004G264800,Pavagv11012908m
Sobic.004G264900,No Gene
Sobic.004G265000,Pavagv11012903m
Sobic.004G265066,Pavagv11012900m
Sobic.004G265132,No Gene
Sobic.004G265200,Pavagv11012899m
Sobic.004G265300,No Gene
Sobic.004G265400,Pavagv11012897m
Sobic.004G265500,Pavagv11012896m
Sobic.004G265600,Pavagv11012893m
Sobic.004G265700,Pavagv11012892m
Sobic.004G265800,Pavagv11012890m
Sobic.004G265900,Pavagv11012889m
Sobic.004G266000,Pavagv11012888m
Sobic.004G266100,Pavagv11012887m
Sobic.004G266200,Pavagv11012886m
Sobic.004G266300,No Gene
Sobic.004G266400,Pavagv11012885m
Sobic.004G266500,Pavagv11012884m
Sobic.004G266600,No Gene
Sobic.004G266700,Pavagv11012883m
Sobic.004G266800,Pavagv11012880m
Sobic.004G266900,Pavagv11012879m
Sobic.004G267000,No Gene
Sobic.004G267200,No Gene
Sobic.004G267300,Pavagv11012877m
Sobic.004G267400,Pavagv11012876m
Sobic.004G267500,Pavagv11012875m
Sobic.004G267600,Pavagv11012874m
Sobic.004G267650,No Gene
Sobic.004G267700,Pavagv11012873m
Sobic.004G267800,Pavagv11012872m
Sobic.004G267900,Pavagv11012871m
Sobic.004G267950,No Gene
Sobic.004G268000,Pavagv11012870m
Sobic.004G268100,Pavagv11012868m
Sobic.004G268200,Pavagv11012867m
Sobic.004G268300,Pavagv11012864m
Sobic.004G268400,Pavagv11012861m
Sobic.004G268500,Pavagv11012859m
Sobic.004G268600,Pavagv11012857m
Sobic.004G268700,Pavagv11012856m
Sobic.004G268800,Pavagv11012853m
Sobic.004G268900,Pavagv11012851m
Sobic.004G269000,Pavagv11012849m
Sobic.004G269100,Pavagv11012847m
Sobic.004G269200,Pavagv11012846m
Sobic.004G269300,No Gene
Sobic.004G269400,Pavagv11012844m
Sobic.004G269500,Pavagv11012843m
Sobic.004G269600,Pavagv11012842m
Sobic.004G269700,Pavagv11012841m
Sobic.004G269800,Pavagv11012839m
Sobic.004G269900,Pavagv11012837m
Sobic.004G270000,No Gene
Sobic.004G270100,Pavagv11012835m
Sobic.004G270200,Pavagv11012834m
Sobic.004G270300,Pavagv11012833m
Sobic.004G270350,No Gene
Sobic.004G270400,Pavagv11012832m
Sobic.004G270500,Pavagv11012830m
Sobic.004G270600,Pavagv11012829m
Sobic.004G270700,No Gene
Sobic.004G270750,No Gene
Sobic.004G270800,Pavagv11012827m
Sobic.004G270900,Pavagv11012826m
Sobic.004G271000,Pavagv11012824m
Sobic.004G271100,No Gene
Sobic.004G271200,No Gene
Sobic.004G271300,Pavagv11012822m
Sobic.004G271350,No Gene
Sobic.004G271400,Pavagv11012821m
Sobic.004G271500,Pavagv11012820m
Sobic.004G271600,Pavagv11012819m
Sobic.004G271700,Pavagv11012818m
Sobic.004G271800,Pavagv11018926m
Sobic.004G271900,No Gene
Sobic.004G272000,No Gene
Sobic.004G272100,Pavagv11018930m
Sobic.004G272200,Pavagv11018931m
Sobic.004G272300,Pavagv11018932m
Sobic.004G272400,Pavagv11018933m
Sobic.004G272500,Pavagv11018936m
Sobic.004G272600,Pavagv11018937m
Sobic.004G272700,Pavagv11018939m
Sobic.004G272800,Pavagv11018940m
Sobic.004G272900,Pavagv11018942m
Sobic.004G272950,No Gene
Sobic.004G273000,Pavagv11018945m
Sobic.004G273100,Pavagv11018950m
Sobic.004G273200,Pavagv11018960m
Sobic.004G273300,Pavagv11018961m
Sobic.004G273400,No Gene
Sobic.004G273500,Pavagv11018965m
Sobic.004G273550,Pavagv11018966m
Sobic.004G273600,Pavagv11018967m
Sobic.004G273800,Pavagv11018969m
Sobic.004G273900,Pavagv11018970m
Sobic.004G274000,Pavagv11018971m
Sobic.004G274100,Pavagv11018972m
Sobic.004G274200,Pavagv11018973m
Sobic.004G274300,No Gene
Sobic.004G274400,Pavagv11018976m
Sobic.004G274500,Pavagv11018978m
Sobic.004G274600,Pavagv11018980m
Sobic.004G274700,Pavagv11018981m
Sobic.004G274800,Pavagv11018982m
Sobic.004G274900,Pavagv11018983m
Sobic.004G275000,Pavagv11018987m
Sobic.004G275100,Pavagv11018988m
Sobic.004G275200,Pavagv11018989m
Sobic.004G275400,Pavagv11018991m
Sobic.004G275500,Pavagv11018993m
Sobic.004G275600,Pavagv11018996m
Sobic.004G275700,Pavagv11018997m
Sobic.004G275800,Pavagv11018998m
Sobic.004G275900,Pavagv11018999m
Sobic.004G276000,Pavagv11019001m
Sobic.004G276100,Pavagv11019003m
Sobic.004G276133,No Gene
Sobic.004G276166,No Gene
Sobic.004G276200,Pavagv11019004m
Sobic.004G276300,Pavagv11019006m
Sobic.004G276400,Pavagv11019009m
Sobic.004G276500,Pavagv11019013m
Sobic.004G276600,Pavagv11019014m
Sobic.004G276700,Pavagv11019018m
Sobic.004G276800,No Gene
Sobic.004G276900,No Gene
Sobic.004G277000,Pavagv11019021m
Sobic.004G277100,Pavagv11019023m
Sobic.004G277200,Pavagv11019024m
Sobic.004G277300,Pavagv11019025m
Sobic.004G277400,Pavagv11019026m
Sobic.004G277501,No Gene
Sobic.004G277600,No Gene
Sobic.004G277700,Pavagv11019029m
Sobic.004G277800,No Gene
Sobic.004G277900,No Gene
Sobic.004G278000,Pavagv11019030m
Sobic.004G278100,Pavagv11019031m
Sobic.004G278200,Pavagv11019032m
Sobic.004G278300,Pavagv11019033m
Sobic.004G278400,Pavagv11019034m
Sobic.004G278500,Pavagv11019035m
Sobic.004G278600,Pavagv11019036m
Sobic.004G278650,No Gene
Sobic.004G278700,No Gene
Sobic.004G278800,No Gene
Sobic.004G278900,Pavagv11019037m
Sobic.004G279000,Pavagv11019041m
Sobic.004G279100,Pavagv11019042m
Sobic.004G279150,No Gene
Sobic.004G279200,Pavagv11019044m
Sobic.004G279300,Pavagv11019046m
Sobic.004G279400,Pavagv11019047m
Sobic.004G279500,Pavagv11019050m
Sobic.004G279601,No Gene
Sobic.004G279700,Pavagv11019052m
Sobic.004G279800,Pavagv11019053m
Sobic.004G279900,Pavagv11019054m
Sobic.004G280000,Pavagv11019058m
Sobic.004G280100,Pavagv11019059m
Sobic.004G280200,Pavagv11019062m
Sobic.004G280301,Pavagv11019063m
Sobic.004G280401,No Gene
Sobic.004G280500,Pavagv11019065m
Sobic.004G280600,No Gene
Sobic.004G280700,Pavagv11019066m
Sobic.004G280800,Pavagv11019067m
Sobic.004G280900,Pavagv11019069m
Sobic.004G281000,Pavagv11019070m
Sobic.004G281200,Pavagv11019071m
Sobic.004G281300,Pavagv11019073m
Sobic.004G281400,Pavagv11019075m
Sobic.004G281500,Pavagv11019076m
Sobic.004G281600,No Gene
Sobic.004G281700,Pavagv11019078m
Sobic.004G281750,No Gene
Sobic.004G281800,Pavagv11019079m
Sobic.004G281900,Pavagv11019080m
Sobic.004G282000,Pavagv11019081m
Sobic.004G282100,Pavagv11019082m
Sobic.004G282200,Pavagv11019083m
Sobic.004G282301,Pavagv11019084m
Sobic.004G282400,Pavagv11019085m
Sobic.004G282500,Pavagv11019088m
Sobic.004G282601,Pavagv11019089m
Sobic.004G282700,Pavagv11019090m
Sobic.004G282800,Pavagv11019091m
Sobic.004G282900,Pavagv11019093m
Sobic.004G282933,No Gene
Sobic.004G282966,No Gene
Sobic.004G283000,Pavagv11019094m
Sobic.004G283050,No Gene
Sobic.004G283100,Pavagv11019095m
Sobic.004G283201,Pavagv11019097m
Sobic.004G283300,Pavagv11019100m
Sobic.004G283400,Pavagv11019103m
Sobic.004G283500,Pavagv11019104m
Sobic.004G283550,No Gene
Sobic.004G283600,Pavagv11019105m
Sobic.004G283700,Pavagv11019106m
Sobic.004G283800,Pavagv11019110m
Sobic.004G283900,Pavagv11019111m
Sobic.004G284001,No Gene
Sobic.004G284100,No Gene
Sobic.004G284200,Pavagv11019113m
Sobic.004G284300,No Gene
Sobic.004G284400,Pavagv11019115m
Sobic.004G284500,Pavagv11019117m
Sobic.004G284600,Pavagv11019118m
Sobic.004G284700,Pavagv11019122m
Sobic.004G284800,Pavagv11019125m
Sobic.004G284900,Pavagv11019131m
Sobic.004G285000,Pavagv11019132m
Sobic.004G285100,Pavagv11019142m
Sobic.004G285200,Pavagv11019144m
Sobic.004G285300,Pavagv11019145m
Sobic.004G285400,Pavagv11019148m
Sobic.004G285450,No Gene
Sobic.004G285500,No Gene
Sobic.004G285600,Pavagv11019163m
Sobic.004G285650,No Gene
Sobic.004G285700,Pavagv11019164m
Sobic.004G285800,Pavagv11019166m
Sobic.004G285900,Pavagv11019167m
Sobic.004G286000,Pavagv11019168m
Sobic.004G286100,No Gene
Sobic.004G286200,Pavagv11019172m
Sobic.004G286250,No Gene
Sobic.004G286301,No Gene
Sobic.004G286351,No Gene
Sobic.004G286400,Pavagv11019173m
Sobic.004G286450,No Gene
Sobic.004G286500,Pavagv11019174m
Sobic.004G286600,Pavagv11019180m
Sobic.004G286700,Pavagv11019181m
Sobic.004G286800,Pavagv11019182m
Sobic.004G286900,Pavagv11019183m
Sobic.004G287000,Pavagv11019184m
Sobic.004G287100,Pavagv11019185m
Sobic.004G287200,Pavagv11019190m
Sobic.004G287300,Pavagv11019191m
Sobic.004G287400,Pavagv11019192m
Sobic.004G287500,Pavagv11019194m
Sobic.004G287600,Pavagv11019196m
Sobic.004G287700,Pavagv11019212m
Sobic.004G287800,Pavagv11019213m
Sobic.004G287900,Pavagv11019214m
Sobic.004G288000,Pavagv11019215m
Sobic.004G288100,Pavagv11019217m
Sobic.004G288200,No Gene
Sobic.004G288300,Pavagv11019218m
Sobic.004G288400,Pavagv11019220m
Sobic.004G288500,Pavagv11019221m
Sobic.004G288600,Pavagv11019223m
Sobic.004G288700,Pavagv11019224m
Sobic.004G288800,No Gene
Sobic.004G288900,Pavagv11019227m
Sobic.004G289000,Pavagv11019228m
Sobic.004G289100,Pavagv11019230m
Sobic.004G289200,Pavagv11019231m
Sobic.004G289300,Pavagv11019232m
Sobic.004G289400,No Gene
Sobic.004G289500,No Gene
Sobic.004G289600,No Gene
Sobic.004G289700,Pavagv11019233m
Sobic.004G289800,Pavagv11019234m
Sobic.004G289900,Pavagv11019235m
Sobic.004G290000,Pavagv11019236m
Sobic.004G290100,Pavagv11019239m
Sobic.004G290200,No Gene
Sobic.004G290300,Pavagv11019242m
Sobic.004G290400,Pavagv11019243m
Sobic.004G290500,Pavagv11019244m
Sobic.004G290600,Pavagv11019246m
Sobic.004G290800,No Gene
Sobic.004G290850,No Gene
Sobic.004G290900,No Gene
Sobic.004G291000,Pavagv11019248m
Sobic.004G291100,No Gene
Sobic.004G291200,No Gene
Sobic.004G291300,Pavagv11019250m
Sobic.004G291400,Pavagv11019251m
Sobic.004G291500,Pavagv11019252m
Sobic.004G291600,No Gene
Sobic.004G291700,No Gene
Sobic.004G291800,No Gene
Sobic.004G291900,No Gene
Sobic.004G292001,No Gene
Sobic.004G292100,No Gene
Sobic.004G292200,No Gene
Sobic.004G292250,No Gene
Sobic.004G292300,No Gene
Sobic.004G292400,No Gene
Sobic.004G292500,No Gene
Sobic.004G292600,No Gene
Sobic.004G292700,No Gene
Sobic.004G292800,Pavagv11019254m
Sobic.004G292833,No Gene
Sobic.004G292866,No Gene
Sobic.004G292900,No Gene
Sobic.004G293000,Pavagv11019257m
Sobic.004G293100,Pavagv11019258m
Sobic.004G293200,Pavagv11019259m
Sobic.004G293300,Pavagv11019273m
Sobic.004G293400,Pavagv11019272m
Sobic.004G293500,Pavagv11019266m
Sobic.004G293600,No Gene
Sobic.004G293700,Pavagv11019260m
Sobic.004G293800,No Gene
Sobic.004G293900,Pavagv11019274m
Sobic.004G294000,No Gene
Sobic.004G294100,Pavagv11019276m
Sobic.004G294200,Pavagv11019277m
Sobic.004G294300,Pavagv11019282m
Sobic.004G294400,No Gene
Sobic.004G294500,Pavagv11019284m
Sobic.004G294600,No Gene
Sobic.004G294700,Pavagv11019285m
Sobic.004G294800,Pavagv11019286m
Sobic.004G294900,Pavagv11019290m
Sobic.004G295000,Pavagv11019291m
Sobic.004G295050,No Gene
Sobic.004G295100,Pavagv11019294m
Sobic.004G295200,Pavagv11019296m
Sobic.004G295300,Pavagv11019298m
Sobic.004G295400,Pavagv11019299m
Sobic.004G295500,Pavagv11019300m
Sobic.004G295600,Pavagv11019302m
Sobic.004G295700,Pavagv11019303m
Sobic.004G295800,Pavagv11019304m
Sobic.004G295900,Pavagv11019307m
Sobic.004G296000,Pavagv11019310m
Sobic.004G296100,Pavagv11019311m
Sobic.004G296200,Pavagv11019312m
Sobic.004G296300,No Gene
Sobic.004G296400,Pavagv11019315m
Sobic.004G296500,Pavagv11019318m
Sobic.004G296600,No Gene
Sobic.004G296700,Pavagv11019319m
Sobic.004G296750,No Gene
Sobic.004G296800,Pavagv11019322m
Sobic.004G296900,Pavagv11019323m
Sobic.004G297000,Pavagv11019325m
Sobic.004G297100,Pavagv11019327m
Sobic.004G297200,Pavagv11019328m
Sobic.004G297300,Pavagv11019329m
Sobic.004G297400,Pavagv11019331m
Sobic.004G297500,Pavagv11019333m
Sobic.004G297600,Pavagv11019342m
Sobic.004G297700,Pavagv11019345m
Sobic.004G297800,Pavagv11019346m
Sobic.004G297900,Pavagv11019347m
Sobic.004G297950,Pavagv11019348m
Sobic.004G298000,Pavagv11019350m
Sobic.004G298100,Pavagv11019352m
Sobic.004G298200,Pavagv11019353m
Sobic.004G298250,No Gene
Sobic.004G298300,Pavagv11019355m
Sobic.004G298400,Pavagv11019357m
Sobic.004G298500,Pavagv11019358m
Sobic.004G298600,Pavagv11019359m
Sobic.004G298700,Pavagv11019360m
Sobic.004G298800,No Gene
Sobic.004G298900,Pavagv11019361m
Sobic.004G299000,Pavagv11019362m
Sobic.004G299200,Pavagv11019363m
Sobic.004G299300,Pavagv11019366m
Sobic.004G299401,No Gene
Sobic.004G299500,Pavagv11019370m
Sobic.004G299600,No Gene
Sobic.004G299700,Pavagv11019371m
Sobic.004G299850,Pavagv11019373m
Sobic.004G300000,Pavagv11019374m
Sobic.004G300100,Pavagv11019375m
Sobic.004G300200,No Gene
Sobic.004G300300,Pavagv11019376m
Sobic.004G300400,No Gene
Sobic.004G300500,Pavagv11019378m
Sobic.004G300600,Pavagv11019380m
Sobic.004G300701,Pavagv11019382m
Sobic.004G300800,Pavagv11019384m
Sobic.004G300900,Pavagv11019385m
Sobic.004G301000,Pavagv11019387m
Sobic.004G301100,Pavagv11019393m
Sobic.004G301200,Pavagv11019396m
Sobic.004G301250,No Gene
Sobic.004G301300,Pavagv11019399m
Sobic.004G301400,Pavagv11019400m
Sobic.004G301500,No Gene
Sobic.004G301600,Pavagv11019401m
Sobic.004G301650,No Gene
Sobic.004G301700,Pavagv11019402m
Sobic.004G301800,Pavagv11019403m
Sobic.004G301900,No Gene
Sobic.004G302000,Pavagv11019404m
Sobic.004G302100,No Gene
Sobic.004G302150,No Gene
Sobic.004G302200,Pavagv11019406m
Sobic.004G302300,No Gene
Sobic.004G302400,Pavagv11019412m
Sobic.004G302500,Pavagv11019417m
Sobic.004G302550,No Gene
Sobic.004G302600,No Gene
Sobic.004G302700,Pavagv11019419m
Sobic.004G302800,Pavagv11019421m
Sobic.004G302900,No Gene
Sobic.004G303000,Pavagv11019422m
Sobic.004G303100,Pavagv11019424m
Sobic.004G303150,Pavagv11019429m
Sobic.004G303200,Pavagv11019431m
Sobic.004G303300,Pavagv11019436m
Sobic.004G303400,Pavagv11019437m
Sobic.004G303433,No Gene
Sobic.004G303466,No Gene
Sobic.004G303500,No Gene
Sobic.004G303550,No Gene
Sobic.004G303600,Pavagv11019439m
Sobic.004G303700,Pavagv11019440m
Sobic.004G303800,No Gene
Sobic.004G303900,No Gene
Sobic.004G304000,Pavagv11019443m
Sobic.004G304100,No Gene
Sobic.004G304200,No Gene
Sobic.004G304300,No Gene
Sobic.004G304400,Pavagv11019447m
Sobic.004G304475,No Gene
Sobic.004G304550,No Gene
Sobic.004G304625,Pavagv11019450m
Sobic.004G304700,Pavagv11019451m
Sobic.004G304800,Pavagv11019453m
Sobic.004G304900,Pavagv11019455m
Sobic.004G305000,Pavagv11013460m
Sobic.004G305100,No Gene
Sobic.004G305200,Pavagv11013468m
Sobic.004G305300,No Gene
Sobic.004G305400,Pavagv11013474m
Sobic.004G305500,No Gene
Sobic.004G305600,Pavagv11013476m
Sobic.004G305700,Pavagv11013477m
Sobic.004G305733,No Gene
Sobic.004G305766,No Gene
Sobic.004G305800,Pavagv11013480m
Sobic.004G305900,Pavagv11013481m
Sobic.004G306100,Pavagv11013482m
Sobic.004G306200,Pavagv11013483m
Sobic.004G306300,Pavagv11018877m
Sobic.004G306400,Pavagv11018878m
Sobic.004G306500,Pavagv11018880m
Sobic.004G306700,Pavagv11018881m
Sobic.004G306800,Pavagv11018883m
Sobic.004G306900,No Gene
Sobic.004G307000,Pavagv11018884m
Sobic.004G307100,Pavagv11018885m
Sobic.004G307200,Pavagv11018886m
Sobic.004G307300,Pavagv11018888m
Sobic.004G307400,Pavagv11018889m
Sobic.004G307500,Pavagv11018890m
Sobic.004G307600,Pavagv11018891m
Sobic.004G307700,Pavagv11018892m
Sobic.004G307800,Pavagv11018893m
Sobic.004G307900,Pavagv11018894m
Sobic.004G308000,Pavagv11018895m
Sobic.004G308100,Pavagv11018896m
Sobic.004G308200,Pavagv11018897m
Sobic.004G308300,Pavagv11018898m
Sobic.004G308400,Pavagv11018899m
Sobic.004G308500,Pavagv11018900m
Sobic.004G308600,Pavagv11018901m
Sobic.004G308700,Pavagv11018902m
Sobic.004G308800,No Gene
Sobic.004G308900,Pavagv11018903m
Sobic.004G309000,Pavagv11018904m
Sobic.004G309100,No Gene
Sobic.004G309200,No Gene
Sobic.004G309300,Pavagv11018905m
Sobic.004G309400,Pavagv11018907m
Sobic.004G309500,Pavagv11018911m
Sobic.004G309600,Pavagv11018912m
Sobic.004G309700,Pavagv11018914m
Sobic.004G309800,Pavagv11018920m
Sobic.004G309900,Pavagv11018868m
Sobic.004G310000,Pavagv11018866m
Sobic.004G310100,Pavagv11018862m
Sobic.004G310200,Pavagv11018854m
Sobic.004G310300,Pavagv11018850m
Sobic.004G310350,No Gene
Sobic.004G310400,Pavagv11018849m
Sobic.004G310500,Pavagv11018845m
Sobic.004G310600,Pavagv11018844m
Sobic.004G310700,Pavagv11018843m
Sobic.004G310800,Pavagv11018841m
Sobic.004G310900,Pavagv11018840m
Sobic.004G311000,Pavagv11018839m
Sobic.004G311100,Pavagv11018837m
Sobic.004G311200,No Gene
Sobic.004G311300,No Gene
Sobic.004G311400,Pavagv11018836m
Sobic.004G311500,Pavagv11018834m
Sobic.004G311550,No Gene
Sobic.004G311600,Pavagv11018832m
Sobic.004G311750,No Gene
Sobic.004G311900,Pavagv11018826m
Sobic.004G312000,Pavagv11018825m
Sobic.004G312100,Pavagv11018823m
Sobic.004G312200,Pavagv11018821m
Sobic.004G312300,Pavagv11018819m
Sobic.004G312400,Pavagv11018816m
Sobic.004G312500,Pavagv11018812m
Sobic.004G312600,Pavagv11018811m
Sobic.004G312700,Pavagv11018810m
Sobic.004G312800,Pavagv11018809m
Sobic.004G312900,No Gene
Sobic.004G313000,No Gene
Sobic.004G313100,Pavagv11018808m
Sobic.004G313200,Pavagv11018806m
Sobic.004G313300,Pavagv11018805m
Sobic.004G313400,Pavagv11018804m
Sobic.004G313500,Pavagv11018796m
Sobic.004G313700,No Gene
Sobic.004G313750,Pavagv11018795m
Sobic.004G313800,Pavagv11018794m
Sobic.004G313900,Pavagv11018791m
Sobic.004G314000,Pavagv11018787m
Sobic.004G314100,Pavagv11018783m
Sobic.004G314200,No Gene
Sobic.004G314300,No Gene
Sobic.004G314400,Pavagv11018780m
Sobic.004G314500,Pavagv11018779m
Sobic.004G314700,Pavagv11018778m
Sobic.004G314750,Pavagv11018777m
Sobic.004G314800,Pavagv11018776m
Sobic.004G314900,Pavagv11018775m
Sobic.004G315000,Pavagv11018773m
Sobic.004G315100,Pavagv11018754m
Sobic.004G315200,Pavagv11018753m
Sobic.004G315300,Pavagv11018750m
Sobic.004G315400,Pavagv11018743m
Sobic.004G315500,Pavagv11018742m
Sobic.004G315600,Pavagv11018741m
Sobic.004G315700,Pavagv11018738m
Sobic.004G315800,Pavagv11018734m
Sobic.004G315850,No Gene
Sobic.004G315900,Pavagv11018733m
Sobic.004G316000,No Gene
Sobic.004G316100,No Gene
Sobic.004G316200,No Gene
Sobic.004G316300,No Gene
Sobic.004G316350,No Gene
Sobic.004G316400,No Gene
Sobic.004G316500,Pavagv11018724m
Sobic.004G316600,Pavagv11018720m
Sobic.004G316700,Pavagv11018717m
Sobic.004G316800,Pavagv11018716m
Sobic.004G316900,Pavagv11018714m
Sobic.004G317000,Pavagv11018713m
Sobic.004G317050,No Gene
Sobic.004G317100,Pavagv11018712m
Sobic.004G317200,Pavagv11018709m
Sobic.004G317300,Pavagv11018707m
Sobic.004G317401,Pavagv11018706m
Sobic.004G317500,No Gene
Sobic.004G317600,No Gene
Sobic.004G317700,Pavagv11018704m
Sobic.004G317800,No Gene
Sobic.004G317900,No Gene
Sobic.004G318000,Pavagv11018703m
Sobic.004G318100,Pavagv11018702m
Sobic.004G318200,Pavagv11018701m
Sobic.004G318300,Pavagv11018699m
Sobic.004G318400,Pavagv11018698m
Sobic.004G318600,No Gene
Sobic.004G318700,Pavagv11018697m
Sobic.004G318800,No Gene
Sobic.004G318900,No Gene
Sobic.004G319000,Pavagv11018696m
Sobic.004G319050,No Gene
Sobic.004G319100,Pavagv11018695m
Sobic.004G319300,Pavagv11018693m
Sobic.004G319400,Pavagv11018690m
Sobic.004G319500,No Gene
Sobic.004G319600,Pavagv11018689m
Sobic.004G319700,Pavagv11018688m
Sobic.004G319800,Pavagv11018687m
Sobic.004G319900,Pavagv11018685m
Sobic.004G320000,Pavagv11018683m
Sobic.004G320100,Pavagv11018679m
Sobic.004G320200,No Gene
Sobic.004G320300,Pavagv11018675m
Sobic.004G320401,No Gene
Sobic.004G320500,Pavagv11018671m
Sobic.004G320600,No Gene
Sobic.004G320700,Pavagv11018670m
Sobic.004G320800,Pavagv11018669m
Sobic.004G320900,No Gene
Sobic.004G321000,Pavagv11018664m
Sobic.004G321100,Pavagv11018663m
Sobic.004G321200,No Gene
Sobic.004G321300,Pavagv11018659m
Sobic.004G321400,Pavagv11018656m
Sobic.004G321500,Pavagv11018653m
Sobic.004G321600,No Gene
Sobic.004G321700,Pavagv11018651m
Sobic.004G321800,Pavagv11018649m
Sobic.004G321900,Pavagv11018647m
Sobic.004G322000,Pavagv11018646m
Sobic.004G322100,Pavagv11018644m
Sobic.004G322200,Pavagv11018642m
Sobic.004G322300,Pavagv11018638m
Sobic.004G322400,Pavagv11018636m
Sobic.004G322500,No Gene
Sobic.004G322550,No Gene
Sobic.004G322600,Pavagv11018633m
Sobic.004G322650,No Gene
Sobic.004G322700,No Gene
Sobic.004G322800,Pavagv11018632m
Sobic.004G322901,No Gene
Sobic.004G323000,Pavagv11018631m
Sobic.004G323100,Pavagv11018630m
Sobic.004G323200,Pavagv11018629m
Sobic.004G323300,Pavagv11018624m
Sobic.004G323400,Pavagv11018622m
Sobic.004G323500,Pavagv11018621m
Sobic.004G323600,Pavagv11018618m
Sobic.004G323700,No Gene
Sobic.004G323800,No Gene
Sobic.004G323900,No Gene
Sobic.004G324000,Pavagv11018613m
Sobic.004G324100,Pavagv11018611m
Sobic.004G324200,No Gene
Sobic.004G324300,No Gene
Sobic.004G324350,No Gene
Sobic.004G324400,No Gene
Sobic.004G324500,No Gene
Sobic.004G324600,No Gene
Sobic.004G324700,No Gene
Sobic.004G324800,No Gene
Sobic.004G324900,Pavagv11018609m
Sobic.004G324950,No Gene
Sobic.004G325000,Pavagv11018607m
Sobic.004G325100,Pavagv11018605m
Sobic.004G325150,No Gene
Sobic.004G325200,No Gene
Sobic.004G325300,Pavagv11018602m
Sobic.004G325400,Pavagv11018594m
Sobic.004G325500,Pavagv11018610m
Sobic.004G325600,Pavagv11018593m
Sobic.004G325700,Pavagv11018592m
Sobic.004G325766,No Gene
Sobic.004G325832,No Gene
Sobic.004G325900,Pavagv11018589m
Sobic.004G326000,Pavagv11018588m
Sobic.004G326100,No Gene
Sobic.004G326300,No Gene
Sobic.004G326200,No Gene
Sobic.004G326400,No Gene
Sobic.004G326500,No Gene
Sobic.004G326600,No Gene
Sobic.004G326650,No Gene
Sobic.004G326700,No Gene
Sobic.004G326800,Pavagv11018586m
Sobic.004G326900,Pavagv11018585m
Sobic.004G327000,Pavagv11018583m
Sobic.004G327100,Pavagv11018582m
Sobic.004G327150,No Gene
Sobic.004G327200,Pavagv11018577m
Sobic.004G327300,Pavagv11018576m
Sobic.004G327400,Pavagv11018575m
Sobic.004G327500,Pavagv11018574m
Sobic.004G327600,Pavagv11018573m
Sobic.004G327700,Pavagv11018572m
Sobic.004G327800,Pavagv11018571m
Sobic.004G327900,Pavagv11018569m
Sobic.004G328000,Pavagv11018568m
Sobic.004G328100,Pavagv11018567m
Sobic.004G328200,No Gene
Sobic.004G328300,Pavagv11018562m
Sobic.004G328400,Pavagv11018560m
Sobic.004G328500,No Gene
Sobic.004G328601,No Gene
Sobic.004G328700,No Gene
Sobic.004G328800,No Gene
Sobic.004G328900,No Gene
Sobic.004G329000,Pavagv11018558m
Sobic.004G329100,No Gene
Sobic.004G329201,Pavagv11018556m
Sobic.004G329300,Pavagv11018555m
Sobic.004G329400,Pavagv11018550m
Sobic.004G329500,Pavagv11018547m
Sobic.004G329600,Pavagv11018544m
Sobic.004G329700,Pavagv11018543m
Sobic.004G329800,Pavagv11018540m
Sobic.004G330000,Pavagv11018539m
